topic,model,annotation.topic,annotation.persona,annotation.authenticity
Covid-19,gpt-3.5-turbo,4.9655172413793105,4.482758620689655,3.8275862068965516
Covid-19,Mistral-7B-Instruct,4.92,4.12,3.32
Economy,gpt-3.5-turbo,4.621621621621622,4.0,3.3513513513513513
Economy,Mistral-7B-Instruct,5.0,4.363636363636363,3.6818181818181817
Environment,gpt-3.5-turbo,4.956521739130435,4.043478260869565,4.043478260869565
Environment,Mistral-7B-Instruct,4.944444444444445,3.5833333333333335,3.6666666666666665
Healthcare,gpt-3.5-turbo,4.733333333333333,4.133333333333334,3.6
Healthcare,Mistral-7B-Instruct,4.903225806451613,3.935483870967742,3.3870967741935485
Ukraine War,gpt-3.5-turbo,4.588235294117647,4.088235294117647,3.5
Ukraine War,Mistral-7B-Instruct,4.575757575757576,3.9696969696969697,3.8484848484848486
